residency,ethnic_descr,year,major,admit,n
CA Resident,African American/Black,2010,Psychology,Applied,202
CA Resident,Asian,2010,MCB-Biochem & Mol Biol,Applied,973
CA Resident,Decline to State,2010,Psychology,Applied,93
CA Resident,Hispanic,2010,Psychology,Applied,643
CA Resident,Native American/Alaska Native,2010,English/Psychology,Applied,21
CA Resident,Native American/Alaska Native,2010,English/Psychology,Applied,21
CA Resident,White,2010,Political Science,Applied,559
Out of State Domestic,African American/Black,2010,Psychology,Applied,27
Out of State Domestic,Asian,2010,Electrical Eng & Comp Sci,Applied,203
Out of State Domestic,Decline to State,2010,Electrical Eng & Comp Sci,Applied,34
Out of State Domestic,Hispanic,2010,Political Science,Applied,28
Out of State Domestic,Native American/Alaska Native,2010,Psychology,Applied,8
Out of State Domestic,White,2010,Electrical Eng & Comp Sci,Applied,152
